University_Name,IA ID,University_Type,IA_City,Former_Name,Name _Change _Date,Address,Establishment,Website_Link,Recognizing_Body,Date_of_Extration,UGC_Source_Link
“Kaushalya” the Skill University,Not Found,(State University),Ahmedabad,NA,NA,Mahatma Gandhi Labour Institute (MGLI) Drive-in Road Memnagar Ahmedabad – 380052 Gujarat,20.10.2021,https://kaushalyaskilluniversity.ac.in/,University Grants Commission (UGC),18/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
A.K.S. University,Not Found,(Private University),Satna,NA,NA,"Satna,Madhya Pradesh.",31.12.2011,http://www.aksuniversity.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
A.P.G. (Alakh Prakash Goyal) Shimla University,Not Found,(Private University),Shimla,NA,NA,Village – Pujarli Shohgi Mehli Bypass Road Near Panthaghati Shimla - 171009 Himachal Pradesh.,07.06.2012,https://agu.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
A.P.J. Abdul Kalam Technological University,353869,(State University),Thiruvananthapuram,NA,NA,CET Campus Thiruvananthapuram – 695016 Kerala.,2015,https://ktu.edu.in/home.htm,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AAFT University of Media and Arts,Not Found,(Private University),Raipur,NA,NA,Vill- Maath Tehsil-Tilda Dist Raipur Chhattisgarh,17.04.2018,https://aaft.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Abhilashi University,Not Found,(Private University),Mandi,NA,NA,Chailchowk (Chachiot) Distt. Mandi Himachal Pradesh.,23.01.2015,http://www.abhilashiuniversity.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Academy of Maritime Education and Training,Not Found,(Deemed University),Chennai,NA,NA,135 East Coast Road Kanathur Chennai-603112 Tamil Nadu.,21.08.2007,https://www.ametuniv.ac.in/,University Grants Commission (UGC),13/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Acharya N.G. Ranga Agricultural University,Not Found,(State University),Guntur,NA,NA,Lam Guntur – 522 034 Andhra Pradesh,1964,https://angrau.ac.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Acharya Nagarjuna University,305663,(State University),Guntur,NA,NA,Nagarjuna Nagar-522510 Dt. Guntur Andhra Pradesh.,1976,https://nagarjunauniversity.ac.in/indexanu.php,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Adamas University,Not Found,(Private University),Barasat,NA,NA,Barasat Barrackpore Road Barberia PO Jagannathpur PS Barasat Kolkata – 700126 West Bengal.,11.04.2014,https://adamasuniversity.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Adani University,Not Found,(Private University),Ahmedabad,NA,NA,Shantigram Township Near Vaishnodevi Circle SG Highway Ahmedabad Gujarat - 382241,01.06.2022,https://www.adaniuni.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Adesh University,312327,(Private University),Bathinda,NA,NA,NH-7 Barnala Road Bathinda Punjab.,10.07.2012,https://adeshuniversity.ac.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Adichunchanagiri University,Not Found,(Private University),Mandya,NA,NA,NH-75 Tq- Nagamangala Dist- Mandya B.G. Nagara- 571448 Karnataka,22.01.2018,https://acu.edu.in/contactus/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Adikavi Nannaya University,349639,(State University),Rajamahendravaram,NA,NA,25-7-9/1 Jayakrishnapuram Rajahmundry – 533 105 East Godavari District Andhra Pradesh.,2006,https://www.aknu.edu.in/,University Grants Commission (UGC),14/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Agriculture University,Not Found,(State University),Jodhpur,NA,NA,Jodhpur – 342 304,14.09.2013,https://www.aujodhpur.ac.in/,University Grants Commission (UGC),19/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
Ahmedabad University,Not Found,(Private University),Ahmedabad,NA,NA,AES Bungalow # 2 Near Commerce Six Roads Navrangpura Ahmedabad – 380 009 Gujarat.,07.07.2009,https://ahduni.edu.in/,University Grants Commission (UGC),12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Bhatinda),371487,Autonomous Institute,Bhatinda,NA,NA,"Mandi Dabwali Road, Bathinda Punjab-151001",2019,https://aiimsbathinda.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Bhubaneswar),329087,Autonomous Institute,Bhubaneswar,NA,NA,"Sijua, Patrapada, Bhubaneswar-751019",2012,https://aiimsbhubaneswar.nic.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Bibinagar),Not Found,Autonomous Institute,Bibinagar,NA,NA,"Bibinagar, Telangana 508126",2019,https://aiimsbibinagar.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Deoghar),Not Found,Autonomous Institute,Deoghar,NA,NA,"Ramsagar, Jharkhand 814152",2019,https://www.aiimsdeoghar.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Gorakhpur),Not Found,Autonomous Institute,Gorakhpur,NA,NA,"Kunraghat, Gorakhpur, Uttar Pradesh (273008) , INDIA",2019,https://aiimsgorakhpur.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Jodhpur),305264,Autonomous Institute,Jodhpur,NA,NA,"Marudhar Industrial Area, 2nd Phase, M.I.A. 1st Phase, Basni, Basni, Jodhpur, Rajasthan 342005",2012,https://www.aiimsjodhpur.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Kalyani),Not Found,Autonomous Institute,Kalyani,NA,NA,"NH - 34 Connector, Basantapur, Saguna West Bengal - 741245",2019,https://aiimskalyani.edu.in/aiims-kalyani/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Mangalagiri),Not Found,Autonomous Institute,Mangalagiri,NA,NA,"Mangalagiri, Guntur District  Andhra Pradesh - 522503",2018,https://www.aiimsmangalagiri.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(Nagpur),368703,Autonomous Institute,Nagpur,NA,NA,"Plot No. 2, Sector - 20, MIHAN, Nagpur, Maharashtra, Pin: 441108",2018,http://aiimsnagpur.edu.in/,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
AIIMS(New Delhi),304968,Autonomous Institute,New Delhi,NA,NA,"Sri Aurobindo Marg, Ansari Nagar, Ansari Nagar East, New Delhi, Delhi 110029",1956,https://www.aiims.edu/index.php?lang=en,National Medical Commission,12/02/23,https://www.ugc.ac.in/pdfnews/46305564-Degree-Specification.pdf
